Position,Company,Location,URL
2023년 하반기 고졸(수신텔러  IT) 공개의 전체 세부 정보,한국투자저축은행,성남 분당구,https://kr.indeed.com/rc/clk?jk=b3644337e42e4495&fccid=f297637fc7942547&vjs=3
AJOU KIURI Bio-AI 센터 학생연구원의 전체 세부 정보,아주대학교,수원 영통구,https://kr.indeed.com/rc/clk?jk=7f517b7b1b8d1bd5&fccid=3b1e77596c7c0ec1&vjs=3
2023년 하반기 대졸 연계형 인턴사원 공개의 전체 세부 정보,한국투자저축은행,성남 분당구,https://kr.indeed.com/rc/clk?jk=29595a35ee83c87c&fccid=f297637fc7942547&vjs=3
Business Intelligence Analyst  Seoul  Korea의 전체 세부 정보,Tesla,서울 강남구,https://kr.indeed.com/rc/clk?jk=4b3dfd13c88992b8&fccid=86e9be6ce380173e&vjs=3
Student Researcher  2023의 전체 세부 정보,Google,서울,https://kr.indeed.com/rc/clk?jk=f438fdb09a101e51&fccid=a5b4499d9e91a5c6&vjs=3
[선행기술원] AI Data Scientist[책임연구원]의 전체 세부 정보,현대자동차그룹,성남 판교역,https://kr.indeed.com/rc/clk?jk=227799b436907962&fccid=980d6ecc399a3373&vjs=3
ML Research Intern의 전체 세부 정보,알레시오,서울 강남구,https://kr.indeed.com/rc/clk?jk=2e93c05adcc20c04&fccid=f7e4f8dfc4e25485&vjs=3
전문연구요원 (병역특례) 수시 (AI / SW 분야)의 전체 세부 정보,딥엑스,성남 분당구,https://kr.indeed.com/rc/clk?jk=d83fc0dd2641f483&fccid=e34932b8232a173b&vjs=3
Applications Engineer digital IC FPGA design RTL EDA Remote의 전체 세부 정보,Siemens Digital Industries Software,경기도 성남,https://kr.indeed.com/rc/clk?jk=ae0ef1ac56e2be5b&fccid=a1b70704c350f800&vjs=3
[ICT] Data Scientist- 비전 및 3D 분석[매니저  책임매니저]의 전체 세부 정보,현대자동차그룹,대한민국,https://kr.indeed.com/rc/clk?jk=456e8e6d9aae68b3&fccid=980d6ecc399a3373&vjs=3
[인텔리전스랩스] 탐지응용팀 백엔드 개발자 (Python/Go)의 전체 세부 정보,Nexon,경기도 성남,https://kr.indeed.com/rc/clk?jk=4ce79aa71969b913&fccid=aba87288e4cc3687&vjs=3
